Numero de jugada;BH1;BH2;BH3;BH4;BH5;BH6;BH7;BH8;BH9;BH10;BH11;BH12;BH13;BH14;BH15;BH16
69;inf;3;inf;inf;inf;inf;2;1;11;inf;inf;inf;inf;inf;2;inf
70;inf;5;inf;inf;inf;inf;1;1;9;inf;inf;inf;1;inf;inf;inf
71;inf;7;inf;inf;inf;inf;3;1;inf;inf;inf;inf;inf;inf;inf;inf
72;inf;inf;inf;inf;inf;inf;inf;6;inf;1;inf;inf;1;inf;inf;inf
73;1;inf;inf;inf;inf;inf;2;1;1;1;inf;inf;inf;inf;inf;inf
74;inf;inf;inf;inf;inf;inf;9;9;1;1;inf;inf;inf;1;inf;inf
75;inf;inf;inf;inf;inf;inf;11;11;inf;inf;inf;1;inf;inf;inf;inf
76;inf;inf;inf;inf;inf;inf;inf;13;inf;1;inf;inf;inf;inf;inf;2
77;inf;inf;inf;inf;inf;inf;inf;inf;inf;1;inf;inf;inf;inf;inf;inf
78;2;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
79;inf;inf;inf;inf;inf;inf;inf;1;inf;inf;inf;inf;inf;inf;inf;inf
80;inf;inf;inf;inf;inf;inf;inf;31;inf;1;1;inf;2;inf;1;inf
81;inf;inf;inf;inf;inf;inf;inf;1;inf;inf;inf;inf;3;inf;inf;inf
82;inf;inf;3;inf;inf;inf;inf;1;inf;inf;inf;inf;1;inf;inf;inf
83;inf;inf;5;inf;inf;inf;inf;33;inf;inf;inf;1;inf;inf;inf;inf
84;inf;2;2;inf;inf;1;inf;33;inf;inf;inf;inf;inf;inf;1;2
85;inf;4;2;inf;inf;inf;inf;1;inf;inf;inf;inf;inf;inf;inf;inf
86;inf;6;inf;inf;inf;inf;inf;24;inf;1;inf;1;inf;inf;inf;inf
87;inf;inf;inf;inf;inf;inf;inf;11;inf;inf;inf;inf;inf;inf;inf;inf
88;inf;inf;inf;inf;1;inf;1;1;inf;inf;1;inf;inf;inf;inf;inf
89;inf;inf;inf;inf;inf;inf;3;1;inf;inf;inf;inf;inf;inf;2;inf
90;1;inf;inf;inf;inf;inf;5;1;inf;inf;inf;inf;inf;inf;inf;3
91;inf;inf;inf;inf;inf;inf;7;16;inf;inf;inf;inf;inf;inf;inf;1
92;inf;inf;inf;inf;inf;inf;9;2;inf;1;inf;inf;inf;inf;inf;2
93;inf;inf;inf;inf;inf;2;11;16;inf;3;inf;inf;inf;inf;inf;inf
94;inf;inf;inf;inf;inf;4;13;1;inf;1;inf;inf;inf;4;inf;inf
95;inf;inf;inf;inf;inf;inf;15;1;inf;inf;inf;inf;inf;2;inf;inf
96;inf;inf;1;inf;inf;inf;17;4;inf;inf;inf;inf;inf;inf;inf;1
97;inf;inf;inf;inf;inf;inf;19;1;inf;inf;inf;inf;inf;inf;inf;inf
98;2;inf;inf;inf;inf;inf;21;3;inf;1;inf;inf;inf;inf;1;inf
99;4;inf;8;inf;inf;inf;23;1;2;1;inf;inf;inf;inf;inf;inf
100;inf;inf;10;inf;inf;inf;25;1;inf;inf;inf;inf;inf;inf;inf;inf
